symbol,name,sector
EUREKAFORB,Eureka Forbes Limited,Consumer Cyclical
EUROTEXIND,Eurotex Industries and Exports Limited,Real Estate
EVEREADY,Eveready Industries India Limited,Industrials
EVERESTIND,Everest Industries Limited,Industrials
EXCEL,Excel Realty N Infra Limited,Industrials
EXCELINDUS,Excel Industries Limited,Basic Materials
EXICOM,Exicom Tele-Systems Limited,Industrials
EXIDEIND,Exide Industries Limited,Consumer Cyclical
EXPLEOSOL,Expleo Solutions Limited,Technology
EXXARO,Exxaro Tiles Limited,Industrials
FACT,The Fertilisers and Chemicals Travancore Limited,Basic Materials
FAIRCHEMOR,Fairchem Organics Limited,Basic Materials
FAZE3Q,Faze Three Limited,Consumer Cyclical
FCL,Fineotex Chemical Limited,Basic Materials
FCSSOFT,FCS Software Solutions Limited,Technology
FDC,FDC Limited,Healthcare
FEDERALBNK,The Federal Bank Limited,Financial Services
FEDFINA,Fedbank Financial Services Limited,Financial Services
FEL,Future Enterprises Limited,Consumer Cyclical
FELDVR,Future Enterprises Limited,Consumer Cyclical
FIBERWEB,Fiberweb (India) Limited,Consumer Cyclical
FIEMIND,Fiem Industries Limited,Consumer Cyclical
FILATEX,Filatex India Limited,Consumer Cyclical
FILATFASH,Filatex Fashions Limited,Consumer Cyclical
FINCABLES,Finolex Cables Limited,Industrials
FINEORG,Fine Organic Industries Limited,Basic Materials
FINOPB,Fino Payments Bank Limited,Financial Services
FINPIPE,Finolex Industries Limited,Industrials
FIRSTCRY,N/A,Consumer Cyclical
FIVESTAR,Five-Star Business Finance Limited,Financial Services
FLAIR,N/A,Industrials
FLEXITUFF,Flexituff Ventures International Limited,Consumer Cyclical
FLFL,Future Lifestyle Fashions Limited,Consumer Cyclical
FLUOROCHEM,Gujarat Fluorochemicals Limited,Basic Materials
FMGOETZE,Federal-Mogul Goetze (India) Limited,Consumer Cyclical
FMNL,Future Market Networks Limited,Real Estate
FOCUS,Focus Lighting and Fixtures Limited,Consumer Cyclical
FOODSIN,Foods and Inns Limited,Consumer Defensive
FORCEMOT,Force Motors Limited,Consumer Cyclical
FORTIS,Fortis Healthcare Limited,Healthcare
FOSECOIND,Foseco India Limited,Basic Materials
FSC,Future Supply Chain Solutions Limited,Industrials
FSL,Firstsource Solutions Limited,Technology
FUSION,Fusion Finance Limited,Financial Services
GABRIEL,Gabriel India Limited,Consumer Cyclical
GAEL,Gujarat Ambuja Exports Limited,Consumer Defensive
GAIL,GAIL (India) Limited,Utilities
GALAPREC,N/A,Industrials
GALAXYSURF,Galaxy Surfactants Limited,Basic Materials
GALLANTT,Gallantt Ispat Limited,Basic Materials
GANDHAR,Gandhar Oil Refinery (India) Limited,Energy
GANDHITUBE,Gandhi Special Tubes Limited,Industrials
GANECOS,Ganesha Ecosphere Limited,Consumer Cyclical
GANESHBE,Ganesh Benzoplast Limited,Basic Materials
GANESHHOUC,Ganesh Housing Corporation Limited,Real Estate
GANGAFORGE,Ganga Forging Limited,Industrials
GANGESSECU,Ganges Securities Limited,Consumer Defensive
GARFIBRES,Garware Technical Fibres Limited,Consumer Cyclical
GATECH,GACM Technologies Limited,Financial Services
GATECHDVR,GACM Technologies Limited,Financial Services
GATEWAY,Gateway Distriparks Limited,Industrials
GAYAHWS,Gayatri Highways Limited,Industrials
GEECEE,GeeCee Ventures Limited,Real Estate
GEEKAYWIRE,Geekay Wires Limited,Industrials
GENCON,Generic Engineering Construction and Projects Limited,Industrials
GENESYS,Genesys International Corporation Limited,Technology
GENSOL,Gensol Engineering Limited,Technology
GENUSPAPER,Genus Paper & Boards Limited,Basic Materials
GENUSPOWER,Genus Power Infrastructures Limited,Industrials
GEOJITFSL,Geojit Financial Services Limited,Financial Services
GEPIL,GE Power India Limited,Industrials
GESHIP,The Great Eastern Shipping Company Limited,Industrials
GET&D,GE T&D India Limited,Industrials
GFLLIMITED,GFL Limited,Communication Services
GHCL,GHCL Limited,Basic Materials
GHCLTEXTIL,GHCL Textiles Limited,Consumer Cyclical
GICHSGFIN,GIC Housing Finance Limited,Financial Services
GICRE,General Insurance Corporation of India,Financial Services
GILLANDERS,Gillanders Arbuthnot and Company Limited,Consumer Defensive
GILLETTE,Gillette India Limited,Consumer Defensive
GINNIFILA,Ginni Filaments Limited,Consumer Cyclical
GIPCL,Gujarat Industries Power Company Limited,Utilities
GKWLIMITED,GKW Limited,Industrials
GLAND,Gland Pharma Limited,Healthcare
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare
GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare
GLFL,Gujarat Lease Financing Limited,Financial Services
GLOBAL,Global Education Limited,Consumer Defensive
GLOBALE,Globale Tessile Limited,N/A
GLOBALVECT,Global Vectra Helicorp Limited,Industrials
GLOBE,Globe Textiles (India) Limited,Consumer Cyclical
GLOBUSSPR,Globus Spirits Limited,Consumer Defensive
GLOSTERLTD,Gloster Limited,Consumer Cyclical
GLS,Glenmark Life Sciences Limited,Healthcare
GMBREW,G.M. Breweries Limited,Consumer Defensive
GMDCLTD,Gujarat Mineral Development Corporation Limited,Energy
GMMPFAUDLR,GMM Pfaudler Limited,Industrials
GMRINFRA,GMR Airports Limited,Industrials
GMRP&UI,GMR Power And Urban Infra Limited,Energy
GNA,G N A Axles Limited,Consumer Cyclical
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Basic Materials
GOACARBON,Goa Carbon Limited,Basic Materials
GOCLCORP,GOCL Corporation Limited,Basic Materials
GOCOLORS,Go Fashion (India) Limited,Consumer Cyclical
GODFRYPHLP,Godfrey Phillips India Limited,Consumer Defensive
GODHA,Godha Cabcon & Insulation Limited,Industrials
GODIGIT,N/A,Financial Services
GODREJAGRO,Godrej Agrovet Limited,Consumer Defensive
GODREJCP,Godrej Consumer Products Limited,Consumer Defensive
GODREJIND,Godrej Industries Limited,Industrials
GODREJPROP,Godrej Properties Limited,Real Estate
GOKEX,Gokaldas Exports Limited,Consumer Cyclical
GOKUL,Gokul Refoils & Solvent Limited,Consumer Defensive
GOKULAGRO,Gokul Agro Resources Limited,Consumer Defensive
GOLDENTOBC,Golden Tobacco Limited,Consumer Defensive
GOLDIAM,Goldiam International Limited,Consumer Cyclical
GOLDTECH,AION-TECH Solutions Limited,Technology
GOODLUCK,Goodluck India Limited,Basic Materials
GOPAL,Gopal Snacks Limited,Consumer Defensive
GOYALALUM,Goyal Aluminiums Limited,Basic Materials
GPIL,Godawari Power & Ispat Limited,Basic Materials
GPPL,Gujarat Pipavav Port Limited,Industrials
GPTHEALTH,GPT Healthcare Limited,Healthcare
GPTINFRA,GPT Infraprojects Limited,Industrials
GRANULES,Granules India Limited,Healthcare
GRAPHITE,Graphite India Limited,Industrials
GRASIM,Grasim Industries Limited,Basic Materials
GRAVITA,Gravita India Limited,Industrials
GREAVESCOT,Greaves Cotton Limited,Industrials
GREENLAM,Greenlam Industries Limited,Consumer Cyclical
GREENPANEL,Greenpanel Industries Limited,Basic Materials
GREENPLY,Greenply Industries Limited,Basic Materials
GREENPOWER,Orient Green Power Company Limited,Utilities
GRINDWELL,Grindwell Norton Limited,Industrials
GRINFRA,G R Infraprojects Limited,Industrials
GRMOVER,GRM Overseas Limited,Consumer Defensive
GROBTEA,The Grob Tea Company Limited,Consumer Defensive
GRPLTD,GRP Limited,Consumer Cyclical
GRSE,Garden Reach Shipbuilders & Engineers Limited,Industrials
GRWRHITECH,Garware Hi-Tech Films Limited,Basic Materials
GSFC,Gujarat State Fertilizers & Chemicals Limited,Basic Materials
GSLSU,Global Surfaces Limited,Basic Materials
GSPL,Gujarat State Petronet Limited,Utilities
GSS,GSS Infotech Limited,Technology
GTECJAINX,G-Tec Jainx Education Limited,Consumer Defensive
GTL,GTL Limited,Communication Services
GTLINFRA,GTL Infrastructure Limited,Technology
GTPL,GTPL Hathway Limited,Communication Services
GUFICBIO,Gufic Biosciences Limited,Healthcare
GUJALKALI,Gujarat Alkalies and Chemicals Limited,Basic Materials
GUJAPOLLO,Gujarat Apollo Industries Limited,Industrials
GUJGASLTD,Gujarat Gas Limited,Utilities
GUJRAFFIA,Gujarat Raffia Industries Limited,N/A
GULFOILLUB,Gulf Oil Lubricants India Limited,Basic Materials
GULFPETRO,GP Petroleums Limited,Energy
GULPOLY,Gulshan Polyols Limited,Basic Materials
GVKPIL,GVK Power & Infrastructure Limited,Utilities
GVPTECH,GVP Infotech Limited,Technology
HAL,Hindustan Aeronautics Limited,Industrials
HAPPSTMNDS,Happiest Minds Technologies Limited,Technology
HAPPYFORGE,N/A,Industrials
HARDWYN,Hardwyn India Limited,Industrials
HARIOMPIPE,Hariom Pipe Industries Limited,Basic Materials
HARRMALAYA,Harrisons Malayalam Limited,Consumer Defensive
HARSHA,Harsha Engineers International Limited,Industrials
HATHWAY,Hathway Cable and Datacom Limited,Communication Services
HATSUN,Hatsun Agro Product Limited,Consumer Defensive
HAVELLS,Havells India Limited,Industrials
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,Consumer Cyclical
HBLPOWER,HBL Power Systems Limited,Industrials
HBSL,HB Stockholdings Limited,Financial Services
HCC,Hindustan Construction Company Limited,Industrials
HCG,HealthCare Global Enterprises Limited,Healthcare
HCL-INSYS,HCL Infosystems Limited,Technology
HCLTECH,HCL Technologies Limited,Technology
HDFCAMC,HDFC Asset Management Company Limited,Financial Services
HDFCBANK,HDFC Bank Limited,Financial Services
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services
HDIL,Housing Development and Infrastructure Limited,Real Estate
HEADSUP,Heads UP Ventures Limited,Consumer Cyclical
HECPROJECT,HEC Infra Projects Limited,Industrials
HEG,HEG Limited,Industrials
HEIDELBERG,HeidelbergCement India Limited,Basic Materials
HEMIPROP,Hemisphere Properties India Limited,Real Estate
HERANBA,Heranba Industries Limited,Basic Materials
HERCULES,Hercules Hoists Limited,Industrials
HERITGFOOD,Heritage Foods Limited,Consumer Defensive
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical
HESTERBIO,Hester Biosciences Limited,Healthcare
HEUBACHIND,Heubach Colorants India Limited,Basic Materials
HEXATRADEX,Hexa Tradex Limited,Financial Services
HFCL,HFCL Limited,Technology
HGINFRA,H.G. Infra Engineering Limited,Industrials
HGS,Hinduja Global Solutions Limited,Industrials
HIKAL,Hikal Limited,Healthcare
HIL,HIL Limited,Industrials
HILTON,Hilton Metal Forging Limited,Industrials
HIMATSEIDE,Himatsingka Seide Limited,Consumer Cyclical
HINDALCO,Hindalco Industries Limited,Basic Materials
HINDCOMPOS,Hindustan Composites Limited,Consumer Cyclical
HINDCON,Hindcon Chemicals Limited,Basic Materials
HINDCOPPER,Hindustan Copper Limited,Basic Materials
HINDMOTORS,Hindustan Motors Limited,Consumer Cyclical
HINDOILEXP,Hindustan Oil Exploration Company Limited,Energy
HINDPETRO,Hindustan Petroleum Corporation Limited,Energy
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive
HINDWAREAP,Hindware Home Innovation Limited,Consumer Cyclical
HINDZINC,Hindustan Zinc Limited,Basic Materials
HIRECT,Hind Rectifiers Limited,Industrials
HISARMETAL,Hisar Metal Industries Limited,Basic Materials
HITECH,Hi-Tech Pipes Limited,Basic Materials
HITECHCORP,Hitech Corporation Limited,Consumer Cyclical
HITECHGEAR,The Hi-Tech Gears Limited,Consumer Cyclical
HLEGLAS,HLE Glascoat Limited,Industrials
HLVLTD,HLV Limited,Consumer Cyclical
HMAAGRO,HMA Agro Industries Limited,Consumer Defensive
HMT,HMT Limited,Industrials
HMVL,Hindustan Media Ventures Limited,Communication Services
HNDFDS,Hindustan Foods Limited,Consumer Defensive
HOMEFIRST,Home First Finance Company India Limited,Financial Services
HONASA,Honasa Consumer Limited,Consumer Defensive
HONAUT,Honeywell Automation India Limited,Industrials
HONDAPOWER,Honda India Power Products Limited,Industrials
HOVS,HOV Services Limited,Technology
HPAL,HP Adhesives Limited,Basic Materials
HPIL,Hindprakash Industries Limited,Basic Materials
HPL,HPL Electric & Power Limited,Industrials
HSCL,Himadri Speciality Chemical Limited,Basic Materials
HTMEDIA,HT Media Limited,Communication Services
HUBTOWN,Hubtown Limited,Real Estate
HUDCO,Housing and Urban Development Corporation Limited,Financial Services
HUHTAMAKI,Huhtamaki India Limited,Consumer Cyclical
HYBRIDFIN,Hybrid Financial Services Limited,Financial Services
ICDSLTD,ICDS Limited,Real Estate
ICEMAKE,Ice Make Refrigeration Limited,Industrials
ICICIBANK,ICICI Bank Limited,Financial Services
ICICIGI,ICICI Lombard General Insurance Company Limited,Financial Services
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Financial Services
ICIL,Indo Count Industries Limited,Consumer Cyclical
ICRA,ICRA Limited,Financial Services
IDBI,IDBI Bank Limited,Financial Services
IDEA,Vodafone Idea Limited,Communication Services
IDEAFORGE,ideaForge Technology Limited,Technology
IDFCFIRSTB,IDFC First Bank Limited,Financial Services
IEL,Indiabulls Enterprises Limited,Industrials
IEX,Indian Energy Exchange Limited,Financial Services
IFBAGRO,IFB Agro Industries Limited,Consumer Defensive
IFBIND,IFB Industries Limited,Consumer Cyclical
IFCI,IFCI Limited,Financial Services
IFGLEXPOR,IFGL Refractories Limited,Basic Materials
IGARASHI,Igarashi Motors India Limited,Consumer Cyclical
IGL,Indraprastha Gas Limited,Utilities
IGPL,I G Petrochemicals Limited,Basic Materials
IIFL,IIFL Finance Limited,Financial Services
IIFLSEC,IIFL Securities Limited,Financial Services
IITL,Industrial Investment Trust Limited,Financial Services
IKIO,IKIO Lighting Limited,Technology
IL&FSENGG,IL&FS Engineering and Construction Company Limited,Industrials
IL&FSTRANS,IL&FS Transportation Networks Limited,Industrials
IMAGICAA,Imagicaaworld Entertainment Limited,Communication Services
IMFA,Indian Metals and Ferro Alloys Limited,Basic Materials
IMPAL,India Motor Parts & Accessories Limited,Consumer Cyclical
IMPEXFERRO,Impex Ferro Tech Limited,Basic Materials
INCREDIBLE,Incredible Industries Limited,Basic Materials
INDBANK,Indbank Merchant Banking Services Limited,Financial Services
INDGN,N/A,Healthcare
INDHOTEL,The Indian Hotels Company Limited,Consumer Cyclical
INDIACEM,The India Cements Limited,Basic Materials
INDIAGLYCO,India Glycols Limited,Basic Materials
INDIAMART,IndiaMART InterMESH Limited,Communication Services
INDIANB,Indian Bank,Financial Services
INDIANCARD,The Indian Card Clothing Company Limited,Consumer Cyclical
INDIANHUME,The Indian Hume Pipe Company Limited,Industrials
INDIASHLTR,India Shelter Finance Corporation Limited,Financial Services
INDIGO,InterGlobe Aviation Limited,Industrials
INDIGOPNTS,Indigo Paints Limited,Basic Materials
INDNIPPON,India Nippon Electricals Limited,Consumer Cyclical
INDOAMIN,Indo Amines Limited,Basic Materials
INDOBORAX,Indo Borax & Chemicals Limited,Basic Materials
INDOCO,Indoco Remedies Limited,Healthcare
INDORAMA,Indo Rama Synthetics (India) Limited,Consumer Cyclical
INDOSTAR,IndoStar Capital Finance Limited,Financial Services
INDOTECH,Indo Tech Transformers Limited,Industrials
INDOTHAI,Indo Thai Securities Limited,Financial Services
INDOUS,Indo Us Bio-Tech Limited,Basic Materials
INDOWIND,Indowind Energy Limited,Utilities
INDRAMEDCO,Indraprastha Medical Corporation Limited,Healthcare
INDSWFTLAB,Ind-Swift Laboratories Limited,Healthcare
INDSWFTLTD,Ind-Swift Limited,Healthcare
INDTERRAIN,Indian Terrain Fashions Limited,Consumer Cyclical
INDUSINDBK,IndusInd Bank Limited,Financial Services
INDUSTOWER,Indus Towers Limited,Communication Services
INFIBEAM,Infibeam Avenues Limited,Technology
INFOBEAN,InfoBeans Technologies Limited,Technology
INFY,Infosys Limited,Technology
INGERRAND,Ingersoll-Rand (India) Limited,Industrials
INNOVACAP,Innova Captab Limited,Healthcare
INOXGREEN,Inox Green Energy Services Limited,Utilities
INOXINDIA,INOX India Limited,Industrials
INOXWIND,Inox Wind Limited,Industrials
INSECTICID,Insecticides (India) Limited,Basic Materials
INSPIRISYS,Inspirisys Solutions Limited,Technology
INTELLECT,Intellect Design Arena Limited,Technology
INTENTECH,Intense Technologies Limited,Technology
INTERARCH,N/A,Industrials
INTLCONV,International Conveyors Limited,Industrials
INVENTURE,Inventure Growth & Securities Limited,Financial Services
IOB,Indian Overseas Bank,Financial Services
IOC,Indian Oil Corporation Limited,Energy
IOLCP,IOL Chemicals and Pharmaceuticals Limited,Healthcare
IONEXCHANG,Ion Exchange (India) Limited,Industrials
IPCALAB,Ipca Laboratories Limited,Healthcare
IPL,India Pesticides Limited,Basic Materials
IRB,IRB Infrastructure Developers Limited,Industrials
IRCON,Ircon International Limited,Industrials
IRCTC,Indian Railway Catering & Tourism Corporation Limited,Industrials
IREDA,Indian Renewable Energy Development Agency Limited,Financial Services
IRFC,Indian Railway Finance Corporation Limited,Financial Services
IRIS,IRIS Business Services Limited,Technology
IRISDOREME,Iris Clothings Limited,Consumer Cyclical
IRMENERGY,IRM Energy Limited,Utilities
ISEC,ICICI Securities Limited,Financial Services
ISFT,IntraSoft Technologies Limited,Consumer Cyclical
ISGEC,Isgec Heavy Engineering Limited,Industrials
ITC,ITC Limited,Consumer Defensive
ITDC,India Tourism Development Corporation Limited,Consumer Cyclical
ITDCEM,ITD Cementation India Limited,Industrials
ITI,ITI Limited,Technology
IVC,IL&FS Investment Managers Limited,Financial Services
IVP,IVP Limited,Basic Materials
IWEL,Inox Wind Energy Limited,Industrials
IXIGO,N/A,Consumer Cyclical
IZMO,IZMO Limited,Technology
J&KBANK,The Jammu and Kashmir Bank Limited,Financial Services
JAGRAN,Jagran Prakashan Limited,Communication Services
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,Healthcare
JAIBALAJI,Jai Balaji Industries Limited,Basic Materials
JAICORPLTD,Jai Corp Limited,Basic Materials
JAIPURKURT,Nandani Creation Limited,N/A
JAMNAAUTO,Jamna Auto Industries Limited,Consumer Cyclical
JASH,Jash Engineering Limited,Industrials
JAYAGROGN,Jayant Agro-Organics Limited,Basic Materials
JAYBARMARU,Jay Bharat Maruti Limited,Consumer Cyclical
JAYNECOIND,Jayaswal Neco Industries Limited,Basic Materials
JAYSREETEA,Jay Shree Tea & Industries Limited,Consumer Defensive
JBCHEPHARM,J. B. Chemicals & Pharmaceuticals Limited,Healthcare
JBMA,JBM Auto Limited,Consumer Cyclical
JCHAC,Johnson Controls-Hitachi Air Conditioning India Limited,Consumer Cyclical
JETAIRWAYS,Jet Airways (India) Limited,Industrials
JETFREIGHT,Jet Freight Logistics Limited,Industrials
JGCHEM,N/A,Basic Materials
JHS,JHS Svendgaard Laboratories Limited,Consumer Defensive
JINDALPHOT,Jindal Photo Limited,Financial Services
JINDALPOLY,Jindal Poly Films Limited,Basic Materials
JINDALSAW,Jindal Saw Limited,Basic Materials
JINDALSTEL,Jindal Steel & Power Limited,Basic Materials
JINDRILL,Jindal Drilling & Industries Limited,Energy
JINDWORLD,Jindal Worldwide Limited,Consumer Cyclical
JIOFIN,Jio Financial Services Limited,Financial Services
JISLDVREQS,Jain Irrigation Systems Limited,Industrials
JISLJALEQS,Jain Irrigation Systems Limited,Industrials
JITFINFRA,JITF Infralogistics Limited,Industrials
JKCEMENT,J.K. Cement Limited,Basic Materials
JKIL,J. Kumar Infraprojects Limited,Industrials
JKLAKSHMI,JK Lakshmi Cement Limited,Basic Materials
JKPAPER,JK Paper Limited,Basic Materials
JKTYRE,JK Tyre & Industries Limited,Consumer Cyclical
JLHL,Jupiter Life Line Hospitals Limited,Healthcare
JMA,Jullundur Motor Agency (Delhi) Limited,Consumer Cyclical
JMFINANCIL,JM Financial Limited,Financial Services
JNKINDIA,JNK India Limited,Industrials
JOCIL,Jocil Limited,Basic Materials
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,Financial Services
JPPOWER,Jaiprakash Power Ventures Limited,Utilities
JSFB,Jana Small Finance Bank Limited,Financial Services
JSL,Jindal Stainless Limited,Basic Materials
JSWENERGY,JSW Energy Limited,Utilities
JSWHL,JSW Holdings Limited,Industrials
JSWINFRA,JSW Infrastructure Limited,Industrials
JSWSTEEL,JSW Steel Limited,Basic Materials
JTEKTINDIA,JTEKT India Limited,Consumer Cyclical
JTLIND,JTL Industries Limited,Basic Materials
JUBLFOOD,Jubilant FoodWorks Limited,Consumer Cyclical
JUBLINDS,Jubilant Industries Limited,Basic Materials
JUBLINGREA,Jubilant Ingrevia Limited,Basic Materials
JUBLPHARMA,Jubilant Pharmova Limited,Healthcare
JUNIPER,Juniper Hotels Limited,Consumer Cyclical
JUSTDIAL,Just Dial Limited,Communication Services
JWL,Jupiter Wagons Limited,Industrials
JYOTHYLAB,Jyothy Labs Limited,Consumer Defensive
JYOTICNC,Jyoti CNC Automation Limited,Industrials
JYOTISTRUC,Jyoti Structures Limited,Industrials
KABRAEXTRU,Kabra Extrusiontechnik Limited,Industrials
KAJARIACER,Kajaria Ceramics Limited,Industrials
KAKATCEM,Kakatiya Cement Sugar and Industries Limited,Basic Materials
KALAMANDIR,Sai Silks (Kalamandir) Limited,Consumer Cyclical
KALYANI,Kalyani Commercials Limited,Consumer Cyclical
KALYANIFRG,Kalyani Forge Limited,Consumer Cyclical
KALYANKJIL,Kalyan Jewellers India Limited,Consumer Cyclical
KAMATHOTEL,Kamat Hotels (India) Limited,Consumer Cyclical
KAMDHENU,Kamdhenu Limited,Basic Materials
KAMOPAINTS,Kamdhenu Ventures Limited,Basic Materials
KANANIIND,Kanani Industries Limited,Consumer Cyclical
KANORICHEM,Kanoria Chemicals & Industries Limited,Basic Materials
KANPRPLA,Kanpur Plastipack Limited,Consumer Cyclical
KANSAINER,Kansai Nerolac Paints Limited,Basic Materials
KAPSTON,Kapston Services Limited,Industrials
KARMAENG,Karma Energy Limited,Utilities
KARURVYSYA,The Karur Vysya Bank Limited,Financial Services
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,Industrials
KAVVERITEL,Kavveri Telecom Products Limited,Technology
KAYA,Kaya Limited,Consumer Defensive
KAYNES,Kaynes Technology India Limited,Industrials
KBCGLOBAL,KBC Global Limited,Real Estate
KCP,The KCP Limited,Basic Materials
KCPSUGIND,K.C.P. Sugar and Industries Corporation Limited,Consumer Defensive
KDDL,KDDL Limited,Consumer Cyclical
KEC,KEC International Limited,Industrials
KECL,Kirloskar Electric Company Limited,Industrials
KEEPLEARN,DSJ Keep Learning Limited,Consumer Defensive
KEI,KEI Industries Limited,Industrials
KELLTONTEC,Kellton Tech Solutions Limited,Technology
KERNEX,Kernex Microsystems (India) Limited,Technology
KESORAMIND,Kesoram Industries Limited,Basic Materials
KEYFINSERV,Keynote Financial Services Limited,Financial Services
KFINTECH,KFin Technologies Limited,Technology
KHADIM,Khadim India Limited,Consumer Cyclical
KHAICHEM,Khaitan Chemicals and Fertilizers Limited,Basic Materials
KHAITANLTD,Khaitan (India) Limited,Consumer Cyclical
KHANDSE,Khandwala Securities Limited,Financial Services
KICL,Kalyani Investment Company Limited,Financial Services
KILITCH,Kilitch Drugs (India) Limited,Healthcare
KIMS,Krishna Institute of Medical Sciences Limited,Healthcare
KINGFA,Kingfa Science & Technology (India) Limited,Basic Materials
KIOCL,KIOCL Limited,Basic Materials
KIRIINDUS,Kiri Industries Limited,Basic Materials
KIRLOSBROS,Kirloskar Brothers Limited,Industrials
KIRLOSENG,Kirloskar Oil Engines Limited,Industrials
KIRLOSIND,Kirloskar Industries Limited,Industrials
KIRLPNU,Kirloskar Pneumatic Company Limited,Industrials
KITEX,Kitex Garments Limited,Consumer Cyclical
KKCL,Kewal Kiran Clothing Limited,Consumer Cyclical
KMSUGAR,K.M. Sugar Mills Limited,Consumer Defensive
KNRCON,KNR Constructions Limited,Industrials
KOHINOOR,Kohinoor Foods Limited,Consumer Defensive
KOKUYOCMLN,Kokuyo Camlin Limited,Industrials
KOLTEPATIL,Kolte-Patil Developers Limited,Real Estate
KOPRAN,Kopran Limited,Healthcare
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services
KOTARISUG,Kothari Sugars and Chemicals Limited,Consumer Defensive
KOTHARIPET,Kothari Petrochemicals Limited,Basic Materials
KOTHARIPRO,Kothari Products Limited,Industrials
KPIGREEN,KPI Green Energy Limited,Utilities
KPIL,Kalpataru Projects International Limited,Industrials
KPITTECH,KPIT Technologies Limited,Technology
KPRMILL,K.P.R. Mill Limited,Consumer Cyclical
KRBL,KRBL Limited,Consumer Defensive
KREBSBIO,Krebs Biochemicals & Industries Limited,Healthcare
KRIDHANINF,Kridhan Infra Limited,Basic Materials
KRISHANA,Krishana Phoschem Limited,Basic Materials
KRITI,Kriti Industries (India) Limited,Industrials
KRITIKA,Kritika Wires Limited,Basic Materials
KRITINUT,Kriti Nutrients Limited,Consumer Defensive
KRN,N/A,Technology
KRONOX,N/A,Basic Materials
KROSS,N/A,Consumer Cyclical
KRSNAA,Krsnaa Diagnostics Limited,Healthcare
KRYSTAL,N/A,Industrials
KSB,KSB Limited,Industrials
KSCL,Kaveri Seed Company Limited,Basic Materials
KSHITIJPOL,Kshitij Polyline Limited,N/A
KSL,Kalyani Steels Limited,Basic Materials
KSOLVES,Ksolves India Limited,Technology
KTKBANK,The Karnataka Bank Limited,Financial Services
KUANTUM,Kuantum Papers Limited,Basic Materials
LAGNAM,Lagnam Spintex Limited,Consumer Cyclical
LAL,Lorenzini Apparels Limited,Consumer Cyclical
LALPATHLAB,Dr. Lal PathLabs Limited,Healthcare
LAMBODHARA,Lambodhara Textiles Limited,Consumer Cyclical
LANCORHOL,Lancor Holdings Limited,Real Estate
LANDMARK,Landmark Cars Limited,Consumer Cyclical
LAOPALA,La Opala RG Limited,Consumer Cyclical
LASA,Lasa Supergenerics Limited,Healthcare
LATENTVIEW,Latent View Analytics Limited,Industrials
LATTEYS,Latteys Industries Limited,Industrials
LAURUSLABS,Laurus Labs Limited,Healthcare
LAXMICOT,Laxmi Cotspin Limited,Consumer Cyclical
LCCINFOTEC,LCC Infotech Limited,Consumer Defensive
LEMONTREE,Lemon Tree Hotels Limited,Consumer Cyclical
LEXUS,Lexus Granito (India) Limited,Industrials
LFIC,Lakshmi Finance & Industrial Corporation Limited,Financial Services
LGBBROSLTD,L.G. Balakrishnan & Bros Limited,Consumer Cyclical
LGHL,N/A,Consumer Cyclical
LIBAS,Libas Consumer Products Limited,Consumer Cyclical
LIBERTSHOE,Liberty Shoes Ltd.,Consumer Cyclical
LICHSGFIN,LIC Housing Finance Limited,Financial Services
LICI,Life Insurance Corporation of India,Financial Services
LIKHITHA,Likhitha Infrastructure Limited,Energy
LINC,Linc Limited,Industrials
LINCOLN,Lincoln Pharmaceuticals Limited,Healthcare
LINDEINDIA,Linde India Limited,Basic Materials
LLOYDSENGG,Lloyds Engineering Works Limited,Industrials
LLOYDSME,Lloyds Metals and Energy Limited,Basic Materials
LMW,LMW Limited,Industrials
LODHA,Macrotech Developers Limited,Real Estate
LOKESHMACH,Lokesh Machines Limited,Industrials
LORDSCHLO,Lords Chloro Alkali Limited,Basic Materials
LOTUSEYE,Lotus Eye Hospital and Institute Limited,Healthcare
LOVABLE,Lovable Lingerie Limited,Consumer Cyclical
LOYALTEX,Loyal Textile Mills Limited,Consumer Cyclical
LPDC,Landmark Property Development Company Limited,Real Estate
LT,Larsen & Toubro Limited,Industrials
LTF,L&T Finance Limited,Financial Services
LTFOODS,LT Foods Limited,Consumer Defensive
LTIM,LTIMindtree Limited,Technology
LTTS,L&T Technology Services Limited,Technology
LUMAXIND,Lumax Industries Limited,Consumer Cyclical
LUMAXTECH,Lumax Auto Technologies Limited,Consumer Cyclical
LUPIN,Lupin Limited,Healthcare
LUXIND,Lux Industries Limited,Consumer Cyclical
LXCHEM,Laxmi Organic Industries Limited,Basic Materials
LYKALABS,Lyka Labs Limited,Healthcare
